Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 offsetbox.py:1(<module>)
      317    0.002    0.000    0.013    0.000 overrides.py:142(decorator)
      120    0.005    0.000    0.013    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.013    0.013 _morestats.py:1(<module>)
   108210    0.013    0.000    0.013    0.000 {method 'lstrip' of 'str' objects}
        8    0.000    0.000    0.013    0.002 utils.py:1(<module>)
    78268    0.013    0.000    0.013    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.013    0.013 _laplacian.py:1(<module>)
        2    0.000    0.000    0.013    0.006 core.py:206(read_style_directory)
  261/217    0.000    0.000    0.013    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.013    0.013 proj.py:1(<module>)
     1222    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
    10834    0.012    0.000    0.012    0.000 {built-in method numpy.zeros}
    21347    0.012    0.000    0.012    0.000 {built-in method numpy.seterrobj}
      217    0.001    0.000    0.012    0.000 typing.py:687(Union)
        1    0.000    0.000    0.012    0.012 parameters_imt.py:1(<module>)
     1798    0.012    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
      973    0.001    0.000    0.012    0.000 __init__.py:711(__setitem__)
    60512    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.012    0.012 polar.py:1(<module>)
        1    0.000    0.000    0.012    0.012 transformer.py:1(<module>)
    37248    0.012    0.000    0.012    0.000 scanner.py:279(stale_possible_simple_keys)
      437    0.001    0.000    0.012    0.000 artist.py:1536(number_of_parameters)
      469    0.002    0.000    0.011    0.000 typing.py:1242(__init__)
       10    0.009    0.001    0.011    0.001 simulation.py:484(scheduler)
      270    0.001    0.000    0.011    0.000 _decorators.py:363(decorator)
     2060    0.007    0.000    0.011    0.000 inspect.py:2998(__init__)
       85    0.001    0.000    0.011    0.000 enum.py:528(__new__)
      397    0.009    0.000    0.011    0.000 _compiler.py:243(_optimize_charset)
     9336    0.005    0.000    0.011    0.000 scanner.py:1416(scan_line_break)
        1    0.000    0.000    0.011    0.011 lines.py:1(<module>)
        1    0.000    0.000    0.010    0.010 handlers.py:1(<module>)
     2652    0.004    0.000    0.010    0.000 composer.py:88(compose_scalar_node)
        1    0.000    0.000    0.010    0.010 _type_aliases.py:1(<module>)
       11    0.000    0.000    0.010    0.001 base.py:1(<module>)
        2    0.000    0.000    0.010    0.005 _show_versions.py:1(<module>)
     1344    0.005    0.000    0.010    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.010    0.005 shape_base.py:1(<module>)
       12    0.000    0.000    0.010    0.001 constructor.py:54(construct_document)
       94    0.001    0.000    0.010    0.000 __init__.py:1391(_preprocess_data)
     2785    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
  552/300    0.000    0.000    0.009    0.000 constructor.py:410(construct_yaml_map)
      138    0.007    0.000    0.009    0.000 {built-in method builtins.eval}
       13    0.000    0.000    0.009    0.001 frame.py:694(__init__)
        1    0.000    0.000    0.009    0.009 _hypotests.py:1(<module>)
        9    0.009    0.001    0.009    0.001 simulation.py:161(initialize_topology_dependant_variables)
     1878    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      276    0.000    0.000    0.009    0.000 constructor.py:215(construct_mapping)
      143    0.000    0.000    0.009    0.000 _decorators.py:484(__call__)
